fqn,type,description,comment,deprecated,instances
Vehicle,branch,High-level vehicle data.,,,[]
Vehicle.Powertrain,branch,"Powertrain data for battery management, etc.",,,[]
Vehicle.Powertrain.CombustionEngine,branch,"Engine-specific data, stopping at the bell housing.",,,[]
Vehicle.Powertrain.CombustionEngine.EngineOil,branch,Signals related to the engine oil,,,[]
Vehicle.Powertrain.CombustionEngine.EngineCoolant,branch,Signals related to the engine coolant,,,[]
Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid,branch,Signals related to Diesel Exhaust Fluid (DEF). DEF is called AUS32 in ISO 22241.,In retail and marketing other names are typically used for the fluid.,,[]
Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter,branch,Diesel Particulate Filter signals.,,,[]
Vehicle.Powertrain.Transmission,branch,"Transmission-specific data, stopping at the drive shafts.",,,[]
Vehicle.Powertrain.ElectricMotor,branch,Electric Motor specific data.,,,[]
Vehicle.Powertrain.ElectricMotor.EngineCoolant,branch,Signals related to the engine coolant (if applicable).,,,[]
Vehicle.Powertrain.TractionBattery,branch,Battery Management data.,,,[]
Vehicle.Powertrain.TractionBattery.Temperature,branch,Temperature Information for the battery pack.,,,[]
Vehicle.Powertrain.TractionBattery.CellVoltage,branch,Voltage information for cells in the battery pack.,,,[]
Vehicle.Powertrain.TractionBattery.StateOfCharge,branch,Information on the state of charge of the vehicle's high voltage battery.,,,[]
Vehicle.Powertrain.TractionBattery.Charging,branch,Properties related to battery charging.,,,[]
Vehicle.Powertrain.TractionBattery.Charging.ChargingPort,branch,Properties related to a particular charging port available in the vehicle.,"If a vehicle has a single charging port, then use the instance AnyPosition.",,"[['FrontLeft', 'FrontMiddle', 'FrontRight', 'RearLeft', 'RearMiddle', 'RearRight', 'AnyPosition']]"
Vehicle.Powertrain.TractionBattery.Charging.MaximumChargingCurrent,branch,"Maximum charging current that can be accepted by the system, as measured at the charging inlet.",,,[]
Vehicle.Powertrain.TractionBattery.Charging.ChargeCurrent,branch,Current charging current.,,,[]
Vehicle.Powertrain.TractionBattery.Charging.ChargeVoltage,branch,"Current charging voltage, as measured at the charging inlet.",,,[]
Vehicle.Powertrain.TractionBattery.Charging.Location,branch,Location of last or current charging event.,"This may depending on implementation represent the location of (the charge port of) the vehicle during charging, or the actual location of the charger/load connected to the vehicle.",,[]
Vehicle.Powertrain.TractionBattery.Charging.Timer,branch,Properties related to timing of battery charging sessions.,,,[]
Vehicle.Powertrain.TractionBattery.DCDC,branch,"Properties related to DC/DC converter converting high voltage (from high voltage battery) to vehicle low voltage (supply voltage, typically 12 Volts).",,,[]
Vehicle.Powertrain.TractionBattery.BatteryConditioning,branch,Properties related to preparing the vehicle battery for charging or driving.,,,[]
Vehicle.Powertrain.FuelSystem,branch,Fuel system data.,,,[]
Vehicle.Body,branch,All body components.,,,[]
Vehicle.Body.Hood,branch,Hood status. Start position for Hood is Closed.,"The hood is the hinged cover over the engine compartment of a motor vehicles. Depending on vehicle, it can be either in the front or back of the vehicle. Luggage compartments are in VSS called trunks, even if they are located at the front of the vehicle.",,[]
Vehicle.Body.Trunk,branch,Trunk status. Start position for Trunk is Closed.,"A trunk is a luggage compartment in a vehicle. Depending on vehicle, it can be either in the front or back of the vehicle. Some vehicles may have trunks both at the front and at the rear of the vehicle.",,"['Front', 'Rear']"
Vehicle.Body.Horn,branch,Horn signals.,,,[]
Vehicle.Body.Raindetection,branch,Rain sensor signals.,,,[]
Vehicle.Body.Windshield,branch,Windshield signals.,,,"['Front', 'Rear']"
Vehicle.Body.Windshield.Wiping,branch,Windshield wiper signals.,,,[]
Vehicle.Body.Windshield.Wiping.System,branch,Signals to control behavior of wipers in detail. By default VSS expects only one instance.,These signals are typically not directly available to the user/driver of the vehicle. The overlay in overlays/extensions/dual_wiper_systems.vspec can be used to modify this branch to support two instances; Primary and Secondary.,,[]
Vehicle.Body.Windshield.WasherFluid,branch,Windshield washer fluid signals,,,[]
Vehicle.Body.Lights,branch,Exterior lights.,,,[]
Vehicle.Body.Lights.Beam,branch,Beam lights.,,,"['Low', 'High']"
Vehicle.Body.Lights.Running,branch,Daytime running lights (DRL).,,,[]
Vehicle.Body.Lights.Backup,branch,Backup lights.,,,[]
Vehicle.Body.Lights.Parking,branch,Parking lights.,,,[]
Vehicle.Body.Lights.Fog,branch,Fog lights.,,,"['Rear', 'Front']"
Vehicle.Body.Lights.LicensePlate,branch,License plate lights.,,,[]
Vehicle.Body.Lights.Brake,branch,Brake lights.,,,[]
Vehicle.Body.Lights.Hazard,branch,Hazard lights.,,,[]
Vehicle.Body.Lights.DirectionIndicator,branch,Indicator lights.,,,"['Left', 'Right']"
Vehicle.Body.Mirrors,branch,All mirrors.,,,"['DriverSide', 'PassengerSide']"
Vehicle.Cabin,branch,"All in-cabin components, including doors.",,,[]
Vehicle.Cabin.RearShade,branch,"Rear window shade. Open = Retracted, Closed = Deployed. Start position for RearShade is Open/Retracted.",,,[]
Vehicle.Cabin.HVAC,branch,Climate control,,,[]
Vehicle.Cabin.HVAC.Station,branch,HVAC for single station in the vehicle,,,"['Row[1,4]', ['Driver', 'Passenger']]"
Vehicle.Cabin.Infotainment,branch,Infotainment system.,,,[]
Vehicle.Cabin.Infotainment.Media,branch,All Media actions,,,[]
Vehicle.Cabin.Infotainment.Media.Played,branch,Collection of signals updated in concert when a new media is played,,,[]
Vehicle.Cabin.Infotainment.Navigation,branch,All navigation actions,,,[]
Vehicle.Cabin.Infotainment.Navigation.DestinationSet,branch,A navigation has been selected.,,,[]
Vehicle.Cabin.Infotainment.Navigation.Map,branch,All map actions,,,[]
Vehicle.Cabin.Infotainment.HMI,branch,HMI related signals,,,[]
Vehicle.Cabin.Infotainment.SmartphoneProjection,branch,All smartphone projection actions.,Smartphone projection exposes or controls specific applications on the Smartphone on the vehicle infotainment system.,,[]
Vehicle.Cabin.Infotainment.SmartphoneScreenMirroring,branch,All smartphone screen mirroring actions.,Smartphone screen mirroring mirrors the whole screen of the Smartphone on the vehicle infotainment system.,,[]
Vehicle.Cabin.Sunroof,branch,Sun roof status.,,,[]
