property,type,datatype,value,count
static,attribute,string,0,48
static,attribute,uint16,0,32
static,attribute,float,0,13
static,attribute,int32,0,0
static,attribute,boolean,0,0
static,attribute,uint8,0,8
static,attribute,int16,0,5
static,attribute,uint32,0,3
static,attribute,int8,0,1
static,attribute,double,0,0
static,sensor,string,0,0
static,sensor,uint16,0,0
static,sensor,float,0,0
static,sensor,int32,0,0
static,sensor,boolean,0,0
static,sensor,uint8,0,0
static,sensor,int16,0,0
static,sensor,uint32,0,0
static,sensor,int8,0,0
static,sensor,double,0,0
static,actuator,string,0,0
static,actuator,uint16,0,0
static,actuator,float,0,0
static,actuator,int32,0,0
static,actuator,boolean,0,0
static,actuator,uint8,0,0
static,actuator,int16,0,0
static,actuator,uint32,0,0
static,actuator,int8,0,0
static,actuator,double,0,0
dynamic,attribute,string,0,0
dynamic,attribute,uint16,0,0
dynamic,attribute,float,0,0
dynamic,attribute,int32,0,0
dynamic,attribute,boolean,0,0
dynamic,attribute,uint8,0,0
dynamic,attribute,int16,0,0
dynamic,attribute,uint32,0,0
dynamic,attribute,int8,0,0
dynamic,attribute,double,0,0
dynamic,sensor,string,0,30
dynamic,sensor,uint16,0,11
dynamic,sensor,float,0,157
dynamic,sensor,int32,0,6
dynamic,sensor,boolean,0,65
dynamic,sensor,uint8,0,18
dynamic,sensor,int16,0,7
dynamic,sensor,uint32,0,8
dynamic,sensor,int8,0,2
dynamic,sensor,double,0,9
dynamic,actuator,string,0,48
dynamic,actuator,uint16,0,5
dynamic,actuator,float,0,18
dynamic,actuator,int32,0,0
dynamic,actuator,boolean,0,87
dynamic,actuator,uint8,0,29
dynamic,actuator,int16,0,0
dynamic,actuator,uint32,0,0
dynamic,actuator,int8,0,6
dynamic,actuator,double,0,2
