Component,Type,x,value
Door,Branch,uint8,9
Door,Attribute,uint8,5
Door,Sensor,uint8,3
Door,Actuator,uint8,1
Door,Branch,uint8,2
Door,Attribute,uint8,1
Door,Sensor,uint8,3
Door,Actuator,uint8,5
Wheel,Branch,uint8,1
Wheel,Attribute,uint8,15
Wheel,Sensor,uint8,34
Wheel,Actuator,uint8,30
Wheel,Branch,uint8,16
Wheel,Attribute,uint8,17
Wheel,Sensor,uint8,34
Wheel,Actuator,uint8,12
Door,Branch,float,99
Door,Attribute,float,5
Door,Sensor,float,61
Door,Actuator,float,3
Door,Branch,float,31
Door,Attribute,float,10
Door,Sensor,float,13
Door,Actuator,float,95
Wheel,Branch,float,19
Wheel,Attribute,float,15
Wheel,Sensor,float,16
Wheel,Actuator,float,30
Wheel,Branch,float,13
Wheel,Attribute,float,11
Wheel,Sensor,float,31
Wheel,Actuator,float,19
