Type,DataType,components,value
branch,,Vehicle,0
branch,,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
attribute,uint16,Powertrain,0
attribute,float,Powertrain,0
attribute,float,Powertrain,0
attribute,string,Powertrain,0
attribute,uint16,Powertrain,0
attribute,uint16,Powertrain,0
attribute,string,Powertrain,0
attribute,float,Powertrain,0
attribute,float,Powertrain,0
attribute,uint16,Powertrain,0
attribute,uint16,Powertrain,0
attribute,string,Powertrain,0
sensor,string,Powertrain,0
sensor,int32,Powertrain,0
sensor,boolean,Powertrain,0
sensor,uint16,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
branch,,Powertrain,0
attribute,float,Powertrain,0
sensor,string,Powertrain,0
sensor,int32,Powertrain,0
sensor,float,Powertrain,0
branch,,Powertrain,0
attribute,float,Powertrain,0
sensor,float,Powertrain,0
sensor,string,Powertrain,0
sensor,int32,Powertrain,0
sensor,uint16,Powertrain,0
sensor,uint16,Powertrain,0
sensor,uint8,Powertrain,0
sensor,uint16,Powertrain,0
sensor,uint16,Powertrain,0
sensor,int16,Powertrain,0
branch,,Powertrain,0
attribute,float,Powertrain,0
sensor,uint8,Powertrain,0
sensor,uint32,Powertrain,0
sensor,boolean,Powertrain,0
branch,,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
attribute,int8,Powertrain,0
attribute,string,Powertrain,0
sensor,float,Powertrain,0
sensor,int8,Powertrain,0
actuator,int8,Powertrain,0
actuator,boolean,Powertrain,0
actuator,boolean,Powertrain,0
actuator,boolean,Powertrain,0
actuator,string,Powertrain,0
actuator,string,Powertrain,0
sensor,float,Powertrain,0
actuator,float,Powertrain,0
sensor,uint8,Powertrain,0
actuator,float,Powertrain,0
actuator,float,Powertrain,0
actuator,float,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
attribute,uint16,Powertrain,0
attribute,uint16,Powertrain,0
attribute,uint16,Powertrain,0
attribute,uint16,Powertrain,0
sensor,int32,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
branch,,Powertrain,0
attribute,float,Powertrain,0
sensor,float,Powertrain,0
sensor,string,Powertrain,0
sensor,int32,Powertrain,0
sensor,int16,Powertrain,0
sensor,int16,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
attribute,string,Powertrain,0
sensor,string,Powertrain,0
sensor,boolean,Powertrain,0
sensor,boolean,Powertrain,0
branch,,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
branch,,Powertrain,0
sensor,float,Powertrain,0
sensor,uint16,Powertrain,0
sensor,float,Powertrain,0
sensor,uint16,Powertrain,0
sensor,float,Powertrain,0
attribute,uint16,Powertrain,0
sensor,uint16,Powertrain,0
sensor,float,Powertrain,0
branch,,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
attribute,uint16,Powertrain,0
attribute,uint16,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,uint32,Powertrain,0
sensor,uint32,Powertrain,0
branch,,Powertrain,0
branch,,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
actuator,boolean,Powertrain,0
sensor,boolean,Powertrain,0
actuator,boolean,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
actuator,boolean,Powertrain,0
sensor,boolean,Powertrain,0
actuator,boolean,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
actuator,boolean,Powertrain,0
sensor,boolean,Powertrain,0
actuator,boolean,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
actuator,boolean,Powertrain,0
sensor,boolean,Powertrain,0
actuator,boolean,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
actuator,boolean,Powertrain,0
sensor,boolean,Powertrain,0
actuator,boolean,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
actuator,boolean,Powertrain,0
sensor,boolean,Powertrain,0
actuator,boolean,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
actuator,boolean,Powertrain,0
sensor,boolean,Powertrain,0
actuator,boolean,Powertrain,0
actuator,uint8,Powertrain,0
branch,,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
actuator,string,Powertrain,0
actuator,boolean,Powertrain,0
sensor,boolean,Powertrain,0
actuator,boolean,Powertrain,0
attribute,string,Powertrain,0
attribute,string,Powertrain,0
attribute,string,Powertrain,0
actuator,string,Powertrain,0
sensor,boolean,Powertrain,0
sensor,boolean,Powertrain,0
actuator,string,Powertrain,0
branch,,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
branch,,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,string,Powertrain,0
branch,,Powertrain,0
sensor,double,Powertrain,0
sensor,double,Powertrain,0
sensor,double,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,uint32,Powertrain,0
branch,,Powertrain,0
actuator,string,Powertrain,0
actuator,string,Powertrain,0
branch,,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
branch,,Powertrain,0
sensor,boolean,Powertrain,0
sensor,boolean,Powertrain,0
actuator,string,Powertrain,0
actuator,string,Powertrain,0
actuator,string,Powertrain,0
actuator,float,Powertrain,0
branch,,Powertrain,0
attribute,string,Powertrain,0
attribute,string,Powertrain,0
attribute,string,Powertrain,0
attribute,float,Powertrain,0
sensor,float,Powertrain,0
sensor,uint8,Powertrain,0
sensor,uint32,Powertrain,0
sensor,uint32,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,float,Powertrain,0
sensor,boolean,Powertrain,0
sensor,boolean,Powertrain,0
attribute,string,Powertrain,0
actuator,boolean,Powertrain,0
sensor,float,Powertrain,0
sensor,uint32,Powertrain,0
sensor,uint32,Powertrain,0
attribute,string,Powertrain,0
actuator,uint8,Powertrain,0
actuator,boolean,Powertrain,0
branch,,Body,0
attribute,string,Body,0
attribute,string,Body,0
branch,,Body,0
actuator,boolean,Body,0
actuator,uint8,Body,0
actuator,string,Body,0
branch,,Body,0
branch,,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,uint8,Body,0
actuator,string,Body,0
branch,,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,uint8,Body,0
actuator,string,Body,0
branch,,Body,0
actuator,boolean,Body,0
branch,,Body,0
sensor,uint8,Body,0
branch,,Body,0
branch,,Body,0
branch,,Body,0
actuator,string,Body,0
actuator,uint8,Body,0
branch,,Body,0
actuator,string,Body,0
actuator,uint8,Body,0
actuator,float,Body,0
actuator,float,Body,0
sensor,float,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,uint8,Body,0
sensor,boolean,Body,0
actuator,boolean,Body,0
branch,,Body,0
sensor,boolean,Body,0
sensor,uint8,Body,0
branch,,Body,0
branch,,Body,0
actuator,string,Body,0
actuator,uint8,Body,0
branch,,Body,0
actuator,string,Body,0
actuator,uint8,Body,0
actuator,float,Body,0
actuator,float,Body,0
sensor,float,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,uint8,Body,0
sensor,boolean,Body,0
actuator,boolean,Body,0
branch,,Body,0
sensor,boolean,Body,0
sensor,uint8,Body,0
branch,,Body,0
actuator,string,Body,0
actuator,boolean,Body,0
branch,,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,string,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
branch,,Body,0
actuator,int8,Body,0
actuator,int8,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
